# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/MW2_annotation/MW2_assembly.gtf" "-o" "MW2_transcripts.txt" "mapping/M-A_S488_L006_vs_MW2.sorted.bam" "mapping/M-B_S489_L006_vs_MW2.sorted.bam" "mapping/M-C_S490_L006_vs_MW2.sorted.bam" "mapping/MplusA_S494_L006_vs_MW2.sorted.bam" "mapping/MplusB_S495_L006_vs_MW2.sorted.bam" "mapping/MplusC_S496_L006_vs_MW2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/M-A_S488_L006_vs_MW2.sorted.bam	mapping/M-B_S489_L006_vs_MW2.sorted.bam	mapping/M-C_S490_L006_vs_MW2.sorted.bam	mapping/MplusA_S494_L006_vs_MW2.sorted.bam	mapping/MplusB_S495_L006_vs_MW2.sorted.bam	mapping/MplusC_S496_L006_vs_MW2.sorted.bam
fepD	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	122019;157880;158881;1731282;2387343;2388338	123005;158884;159897;1732313;2388341;2389333	+;+;+;-;-;-	6028	14287	11122	14251	10227	17445	15703
yigB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	123060;617197	123779;617883	+;+	1407	6145	4840	5894	3797	7725	5845
menH	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	123763;126252;484239;2130511	124563;127040;485042;2131341	+;+;+;+	3225	23465	18467	25550	10535	18767	16360
DBIAII_00114	MRSA_MW2_contig_1	124699	125205	+	507	48171	44323	57547	20870	60007	33633
DBIAII_00115	MRSA_MW2_contig_1	125367	126083	+	717	10664	8991	11158	3219	7463	7898
sarA	MRSA_MW2_contig_1	127290	127664	-	375	29766	25309	29734	18021	26602	25059
ydcZ	MRSA_MW2_contig_1	128612	129541	-	930	1443	1064	1380	658	1205	1301
DBIAII_00120	MRSA_MW2_contig_1	129736	129960	-	225	47	57	42	39	38	72
DBIAII_00121	MRSA_MW2_contig_1	129977	130180	-	204	83	72	61	40	34	71
xerD	MRSA_MW2_contig_1;MRSA_MW2_contig_1	130339;1047760	130899;1048647	+;-	1449	10998	9984	12822	5332	7436	7243
mnhA2	MRSA_MW2_contig_1	130918	133320	+	2403	12651	11061	13629	3363	4537	3053
mnhB2	MRSA_MW2_contig_1	133307	133732	+	426	384	395	488	172	178	125
mnhC2	MRSA_MW2_contig_1	133729	134073	+	345	620	491	664	172	205	161
mnhD2	MRSA_MW2_contig_1	134063	135559	+	1497	7279	6369	8156	2357	2468	1991
mnhE2	MRSA_MW2_contig_1	135560	136042	+	483	1243	1051	1365	380	497	377
mnhF2	MRSA_MW2_contig_1	136039	136341	+	303	695	510	818	273	296	212
mnhG2	MRSA_MW2_contig_1	136316	136753	+	438	1715	1409	1995	666	812	626
nhaP	MRSA_MW2_contig_1;MRSA_MW2_contig_1	137093;1977383	139135;1979461	+;+	4122	27725	23089	29379	17576	26799	29660
znuA	MRSA_MW2_contig_1	140428	141357	-	930	27938	19439	25954	3169	14885	6747
znuB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	141354;1099220	142190;1100092	-;-	1710	25472	19363	23138	5018	15674	9646
znuC	MRSA_MW2_contig_1;MRSA_MW2_contig_1	142184;1100125	142927;1100910	-;-	1530	36071	26519	34003	5712	24149	12261
mntR	MRSA_MW2_contig_1	143049	143693	+	645	8983	8143	10678	5747	13204	10024
DBIAII_00136	MRSA_MW2_contig_1	143773	144525	-	753	1696	1475	1768	1160	2894	3241
tarA	MRSA_MW2_contig_1	144761	145525	+	765	8407	7151	9077	3588	8736	7270
tagH	MRSA_MW2_contig_1;MRSA_MW2_contig_1	145586;1440584	146380;1442101	-;-	2313	26487	22882	28546	17985	34277	30161
tagG	MRSA_MW2_contig_1	146727	147539	+	813	23397	20754	26200	9317	19857	18532
tarB	MRSA_MW2_contig_1	147638	148741	+	1104	6779	5712	7256	2918	8961	5777
tagX	MRSA_MW2_contig_1	148738	149799	+	1062	7116	5854	7697	3515	6998	6153
tagD	MRSA_MW2_contig_1	149862	150260	+	399	2920	2516	3289	1750	3255	2938
pbp4	MRSA_MW2_contig_1	150377	151672	-	1296	12476	10580	13539	9503	8230	15434
mdlB	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	152093;1434441;1964972;1966730	153820;1436177;1966705;1968493	+;-;-;-	6963	34102	25055	31811	16622	28834	26797
yitT	MRSA_MW2_contig_1	155931	156764	+	834	3454	2859	3940	2916	3943	4675
fepC	MRSA_MW2_contig_1	157047	157844	+	798	1485	1220	1482	2045	3872	3810
dhaK	MRSA_MW2_contig_1	160131	161099	+	969	569	397	546	429	626	392
dhaL	MRSA_MW2_contig_1	161141	161725	+	585	486	341	532	340	460	435
dhaM	MRSA_MW2_contig_1	161718	162080	+	363	232	209	294	177	246	190
DBIAII_00154	MRSA_MW2_contig_1	162196	162693	+	498	55380	48693	62646	22921	46372	47933
ykvI	MRSA_MW2_contig_1;MRSA_MW2_contig_1	163150;2064630	164217;2065709	+;+	2148	26967	23952	28485	11415	14333	18380
aes	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	164368;1880733;2081165;2632514	165411;1881653;2082133;2633341	+;-;-;-	3762	32807	25423	32538	16004	34414	29017
DBIAII_00157	MRSA_MW2_contig_1	165740	166168	+	429	1278	1030	1376	1399	2677	2375
rimL	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	166377;893788;1671360;2253074;188342;2652835	166883;894297;1672220;2253571;188884;2653380	-;-;-;-;+;+	3465	21215	17464	22684	10110	23280	17389
graX	MRSA_MW2_contig_1	166996	167919	+	924	4520	3578	4699	2581	5873	5050
graR	MRSA_MW2_contig_1	167935	168609	+	675	1081	823	1125	855	1520	1176
graS	MRSA_MW2_contig_1	168602	169642	+	1041	4038	3598	4599	3145	5500	5506
vraF	MRSA_MW2_contig_1	169786	170547	+	762	2889	2419	2780	1869	2777	3533
vraG	MRSA_MW2_contig_1	170537	172426	+	1890	5146	4265	5381	3953	5494	6756
ykaA	MRSA_MW2_contig_1	173151	173768	+	618	15950	13954	17870	8939	15171	17687
pitA	MRSA_MW2_contig_1	173784	174791	+	1008	23316	21042	26239	16205	22152	25164
DBIAII_00166	MRSA_MW2_contig_1	175379	176176	-	798	29824	26993	34027	7935	17068	16197
ybhL	MRSA_MW2_contig_1	176537	177181	+	645	3956	3322	3808	1922	6419	4642
araC	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	177878;1056024;303812;1825549	180028;1056890;304027;1827504	+;+;-;-	5190	23154	19147	23709	17721	25891	33157
sarX	MRSA_MW2_contig_1	180108	180533	+	426	1646	983	1323	357	716	638
tACO1	MRSA_MW2_contig_1	180723	181439	+	717	29610	26033	33329	12880	27523	21084
cFF1	MRSA_MW2_contig_1	181439	181912	+	474	18246	15073	18806	7159	15685	12417
DBIAII_00172	MRSA_MW2_contig_1	182265	182909	+	645	6706	5638	7241	3294	7042	4129
lysR	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	183025;1864750;2358218;413611;2088870;2759770	183891;1865634;2359078;414480;2089733;2760654	+;+;+;-;-;-	5232	20031	16401	20482	8291	18248	12881
DBIAII_00174	MRSA_MW2_contig_1	184300	185520	+	1221	7209	6402	8317	430	59	205
DBIAII_00175	MRSA_MW2_contig_1	185517	186005	+	489	1089	1135	1355	119	27	33
DBIAII_00176	MRSA_MW2_contig_1	186104	186793	-	690	3588	3124	3689	108	36	63
DBIAII_00177	MRSA_MW2_contig_1	186920	187363	+	444	247	159	289	4	5	5
DBIAII_00178	MRSA_MW2_contig_1	187430	187825	+	396	12462	10523	13988	239	35	177
DBIAII_00179	MRSA_MW2_contig_1	187963	188262	+	300	18291	15097	17879	276	88	127
ppnN	MRSA_MW2_contig_1	188980	189546	-	567	8453	7293	9507	241	60	113
yaiI	MRSA_MW2_contig_1	189548	190006	-	459	6035	4723	6473	129	30	54
DBIAII_00183	MRSA_MW2_contig_1	190009	190692	-	684	23495	17680	22649	303	78	102
uppP	MRSA_MW2_contig_1	190864	191739	-	876	12122	10315	12612	335	46	216
cydD	MRSA_MW2_contig_1	191958	193589	+	1632	11100	8371	11083	267	39	183
cydC	MRSA_MW2_contig_1	193586	195259	+	1674	12441	9861	12108	393	56	277
mgrA	MRSA_MW2_contig_1	195386	195829	-	444	93302	78102	94084	3558	253	2347
yejR	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	196056;2738225;2131488	196982;2739427;2132378	+;+;-	3021	9204	7239	9309	1857	2367	2730
ydhF	MRSA_MW2_contig_1	197085	197993	+	909	9435	8212	10380	244	68	167
DBIAII_00190	MRSA_MW2_contig_1	198028	198315	+	288	1392	1131	1337	43	19	22
citT	MRSA_MW2_contig_1;MRSA_MW2_contig_1	198598;2266637	200151;2268055	+;+	2973	11630	9353	12184	3602	27536	5895
phrB	MRSA_MW2_contig_1	200237	201610	+	1374	5208	4300	5352	140	20979	76
DBIAII_00193	MRSA_MW2_contig_1	201765	202049	-	285	1670	1284	1554	88	1668	40
DBIAII_00194	MRSA_MW2_contig_1	202046	202663	-	618	3247	2582	3237	145	3547	89
aF0104	MRSA_MW2_contig_1	202849	203271	-	423	2480	2039	2490	106	3573	58
norA	MRSA_MW2_contig_1	203480	204646	+	1167	7927	6847	8254	370	6782	127
DBIAII_00197	MRSA_MW2_contig_1	204939	205391	+	453	8610	7961	10102	384	7683	171
ybaK	MRSA_MW2_contig_1	205564	206046	+	483	1078	840	1200	45	1482	24
glpR	MRSA_MW2_contig_1;MRSA_MW2_contig_1	206298;1109344	207059;1109883	+;-	1302	49054	40275	52670	2702	36714	3783
pfkB	MRSA_MW2_contig_1	207056	207976	+	921	44069	36207	48370	853	35761	1078
ptsN	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	207982;2199920;2550629;2642098	209940;2201872;2551096;2642541	+;+;+;-	4824	140875	128725	171651	6795	126926	21018
nagA	MRSA_MW2_contig_1	210248	211429	+	1182	9921	8435	10767	371	12184	10466
tlyC	MRSA_MW2_contig_1	211650	212999	+	1350	27857	25948	33717	927	22880	25706
aRA1	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	213221;1341667;1756996	214060;1342500;1757844	+;-;-	2523	13865	10705	14182	2957	11371	7058
csbB	MRSA_MW2_contig_1	214192	215175	+	984	9188	6793	9302	178	5820	3813
saeS	MRSA_MW2_contig_1	215247	216302	-	1056	42419	32038	38308	1772	34070	50648
saeR	MRSA_MW2_contig_1	216302	216988	-	687	8405	6596	8544	475	8174	10896
doxX	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	216963;477085;2231551	217436;477441;2231910	-;-;+	1191	46128	37613	44356	8339	32153	45491
DBIAII_00209	MRSA_MW2_contig_1	217779	218219	-	441	9614	7044	8640	4004	11971	19452
DBIAII_00210	MRSA_MW2_contig_1	218499	219083	-	585	5922	5079	6248	5792	7281	9681
queE	MRSA_MW2_contig_1	219182	219895	-	714	5572	3870	4113	7209	5905	9400
queD	MRSA_MW2_contig_1	219899	220318	-	420	1455	994	1180	2179	1592	2722
queC	MRSA_MW2_contig_1	220320	220988	-	669	3344	2356	2550	5290	3891	6783
pabA	MRSA_MW2_contig_1;MRSA_MW2_contig_1	221339;840291	221932;840857	+;+	1161	2543	1988	2792	1016	1671	1820
pabB	MRSA_MW2_contig_1	221916	223067	+	1152	2678	2095	2699	1865	2723	3290
pxpB	MRSA_MW2_contig_1;MRSA_MW2_contig_1	224035;1150044	224745;1150778	+;-	1446	7256	5337	6916	2900	5160	4961
pxpC	MRSA_MW2_contig_1;MRSA_MW2_contig_1	224729;1149044	225733;1150054	+;-	2016	10456	8020	10207	4676	7835	7732
ltaS	MRSA_MW2_contig_1	226207	228147	+	1941	84272	75445	98594	67855	88704	132110
ccmA	MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1;MRSA_MW2_contig_1	228424;784135;2060483;2494575;2660120;519878;1395768;2584694	230301;785034;2061178;2495297;2660962;521278;1396508;2585353	+;+;+;+;+;-;-;-	7842	54043	41715	52986	40645	81233	104429
recQ	MRSA_MW2_contig_1;MRSA_MW2_contig_1	230313;986600	232094;987979	+;-	3162	23131	18886	24843	10115	14182	17200
opuBA	MRSA_MW2_contig_1;MRSA_MW2_contig_1	232316;1989563	233293;1990789	+;-	2205	8336	5829	8136	3394	7999	4898
egtUBC	MRSA_MW2_contig_1	233286	234800	+	1515	12765	9905	13601	4370	7856	7049
hisC	MRSA_MW2_contig_1;MRSA_MW2_contig_1	235040;2247806	236098;2248819	+;-	2073	4073	3290	4511	1629	3367	2332
yorC	MRSA_MW2_contig_1	236393	236935	+	543	5738	4653	5837	2688	4466	4746
lCB5	MRSA_MW2_contig_1	237616	238533	-	918	9512	6466	7975	1567	4616	1951
pTR2	MRSA_MW2_contig_1	238802	240307	-	1506	96211	84727	112406	35018	98469	54196
queF	MRSA_MW2_contig_1	240648	241148	-	501	5937	5079	6488	3560	4754	7351
rhaT	MRSA_MW2_contig_1;MRSA_MW2_contig_1	241168;2080122	242034;2081084	-;+	1830	11843	10273	13023	6651	8944	11746
nrdI	MRSA_MW2_contig_1	242835	243233	+	399	17010	13037	17087	2519	7134	3822
nrdE	MRSA_MW2_contig_1	243196	245301	+	2106	80644	64791	88353	19366	27811	27109
nrdF	MRSA_MW2_contig_1	245419	246390	+	972	38070	32853	46488	12987	16337	19077
ceuB	MRSA_MW2_contig_1	247056	248069	+	1014	293	290	349	750	2987	1495
ceuC	MRSA_MW2_contig_1	248056	249012	+	957	244	182	224	545	1809	937
ceuD	MRSA_MW2_contig_1	249009	249770	+	762	341	281	304	692	1734	1376
ceuA	MRSA_MW2_contig_1	249889	250917	+	1029	2749	2475	3137	3127	7142	5228
DBIAII_00238	MRSA_MW2_contig_1	251234	251548	-	315	4156	3432	4311	2921	4615	4462
murB	MRSA_MW2_contig_1	251566	252489	-	924	10863	8878	11598	6730	10792	11154
grpB	MRSA_MW2_contig_1	252616	253134	-	519	3309	2828	3223	1957	2759	3662
DBIAII_00241	MRSA_MW2_contig_1	253254	254132	+	879	5839	5155	6204	3715	7454	6693
ytxJ	MRSA_MW2_contig_1	254286	254606	+	321	6407	5824	7005	4124	5315	6296
glxK	MRSA_MW2_contig_1;MRSA_MW2_contig_1	255031;1970062	256155;1971204	+;+	2268	11847	9588	12658	8211	13773	12222
pepT	MRSA_MW2_contig_1	256337	257563	-	1227	14366	11873	14949	9399	16361	15824
gGDEF	MRSA_MW2_contig_1	259046	260116	-	1071	9209	8298	10258	7366	8139	13693
rfe	MRSA_MW2_contig_1	260434	261489	+	1056	10850	9242	11850	4174	7316	8619
yIH1	MRSA_MW2_contig_1	261661	262302	-	642	3535	3062	3940	2843	6289	5156
fakB1	MRSA_MW2_contig_1	262446	263312	+	867	22584	20632	26356	13554	23575	23400
comFA	MRSA_MW2_contig_1	263676	264758	+	1083	543	453	598	265	452	438
comFC	MRSA_MW2_contig_1	264751	265425	+	675	185	178	175	67	122	158
hpf	MRSA_MW2_contig_1	265486	266058	+	573	50311	44979	57877	9422	32364	14146
secA	MRSA_MW2_contig_1	266472	269003	+	2532	50652	41812	56443	40908	55815	62394
prfB	MRSA_MW2_contig_1	269436	270428	+	993	9225	7475	8675	6418	9429	10171
