# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/LacFitz_annotation/LacFitz_assembly.gtf" "-o" "LacFitz_transcripts.txt" "mapping/L-A_S491_L006_vs_LacFitz.sorted.bam" "mapping/L-B_S492_L006_vs_LacFitz.sorted.bam" "mapping/L-C_S493_L006_vs_LacFitz.sorted.bam" "mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam" "mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam" "mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/L-A_S491_L006_vs_LacFitz.sorted.bam	mapping/L-B_S492_L006_vs_LacFitz.sorted.bam	mapping/L-C_S493_L006_vs_LacFitz.sorted.bam	mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam	mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam	mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam
bioF	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	48299;1990584	49486;1991699	+;-	2304	20912	17034	24673	21879	15856	19735
hchA	MRSA_LacFitz_contig_1	49752	50630	+	879	21776	18701	27298	8634	7842	9132
araB	MRSA_LacFitz_contig_1	50789	52426	+	1638	2173	2122	2849	2305	1633	1996
wcaG	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	52640;2698883;2013392	53605;2699908;2014243	+;+;-	2844	12704	10686	14944	27924	13843	28079
ilvE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	53940;231607	55016;232215	+;+	1686	10659	10106	13603	10743	10334	9848
gph	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	55266;78946;1280719	55949;79593;1281849	+;+;-	2463	7576	6822	9916	17014	17466	14146
dck	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	56065;56720	56727;57337	-;-	1273	9023	9101	11165	2766	3889	4306
tadA	MRSA_LacFitz_contig_1	57404	57874	+	471	4510	4557	6107	3105	3365	3306
cof	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	58021;804311;857875;416564;1712302;1785442;2104461	58890;805114;858642;417388;1713159;1786257;2105261	+;+;+;-;-;-;-	5742	44923	44894	57067	37598	35379	36393
azo1	MRSA_LacFitz_contig_1	58911	59477	+	567	5077	4507	5581	4120	3980	4048
sdrC	MRSA_LacFitz_contig_1	59908	62751	+	2844	889	903	980	609	600	838
sdrD	MRSA_LacFitz_contig_1	63118	67263	+	4146	2876	5775	4304	2842	3364	21148
sdrE	MRSA_LacFitz_contig_1	67657	71121	+	3465	21712	21206	29223	2118	2546	7324
rfaB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	71240;2467465;2499380;72836	72712;2468631;2500489;74326	+;+;+;-	5241	25184	25231	36231	55441	52333	59560
folE2	MRSA_LacFitz_contig_1	74608	75486	-	879	17792	17371	23078	15885	15074	14522
bshB2	MRSA_LacFitz_contig_1	75499	76164	-	666	8181	7810	9917	7500	6993	6737
PBCCJM_00058	MRSA_LacFitz_contig_1	76178	76540	-	363	7627	7790	10103	6785	6069	5992
nagB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	76816;1431543	77574;1432142	+;-	1359	24059	19966	27946	8898	9931	9262
hxlA	MRSA_LacFitz_contig_1	77651	78283	+	633	14692	13412	19467	5231	6171	6787
hxlB	MRSA_LacFitz_contig_1	78285	78833	+	549	14137	11905	16368	5487	6236	6346
proP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	80095;2015726	81495;2017126	+;-	2802	20641	19221	25579	7578	10285	9869
vraA	MRSA_LacFitz_contig_1	82039	83415	+	1377	1083	1143	1639	738	879	758
vraB	MRSA_LacFitz_contig_1	83417	84556	+	1140	1479	1413	1960	1009	872	920
vraC	MRSA_LacFitz_contig_1	84531	84896	+	366	187	235	260	153	162	134
PBCCJM_00067	MRSA_LacFitz_contig_1	84899	85168	+	270	492	504	603	335	359	294
vraX	MRSA_LacFitz_contig_1	85369	85536	-	168	6104	5500	7812	4661	5727	10141
pdxK	MRSA_LacFitz_contig_1	86043	86873	-	831	22343	23877	29753	16032	16501	16749
ung	MRSA_LacFitz_contig_1	87057	87713	+	657	6973	7567	10177	5557	5690	5209
ywdI	MRSA_LacFitz_contig_1	87714	88094	+	381	4838	4868	6618	3662	3403	3267
PBCCJM_00072	MRSA_LacFitz_contig_1	88227	88595	+	369	3182	3083	3711	2768	2683	2473
potE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	88716;2022380;2183164;947622;2009743	90200;2024017;2184612;948944;2011572	+;+;+;-;-	7725	95183	109408	125041	29637	31526	32324
yjjB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	90342;266123	90794;266617	-;-	948	4337	3916	5665	4336	4406	4454
yjjP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	90807;266635	91571;267396	-;-	1527	5089	4532	6543	5309	5311	5181
hemQ	MRSA_LacFitz_contig_1	92120	92872	-	753	18039	19222	24138	18272	17212	16577
pta	MRSA_LacFitz_contig_1	93040	94026	+	987	19009	17785	23441	15558	15250	12865
lipL	MRSA_LacFitz_contig_1	94029	94865	+	837	13617	12650	16235	10714	10849	9244
mvk	MRSA_LacFitz_contig_1	95452	96372	+	921	6679	6743	8193	5449	6226	5206
mvaD	MRSA_LacFitz_contig_1	96377	97360	+	984	8913	8460	10948	5879	7097	4905
eRG12	MRSA_LacFitz_contig_1	97373	98449	+	1077	14634	15006	19332	9073	10067	7474
PBCCJM_00083	MRSA_LacFitz_contig_1	98626	98967	+	342	1639	1766	2095	1057	1367	1202
merA	MRSA_LacFitz_contig_1	99019	100341	-	1323	2440	2220	2864	1723	1780	1628
hypR	MRSA_LacFitz_contig_1	100328	100768	-	441	419	394	499	268	365	342
PBCCJM_00086	MRSA_LacFitz_contig_1	101393	102802	+	1410	3186	2512	3727	446	661	1866
PBCCJM_00087	MRSA_LacFitz_contig_1	102806	103432	+	627	857	770	1190	172	219	584
PBCCJM_00088	MRSA_LacFitz_contig_1	103558	104199	+	642	1752	1736	2664	361	481	1166
PBCCJM_00089	MRSA_LacFitz_contig_1	104287	104904	+	618	1460	1226	1950	309	409	843
PBCCJM_00090	MRSA_LacFitz_contig_1	104979	105608	+	630	2512	2378	3938	410	579	1317
PBCCJM_00091	MRSA_LacFitz_contig_1	105804	106424	+	621	1888	1780	2620	368	601	941
PBCCJM_00092	MRSA_LacFitz_contig_1	106564	107196	+	633	788	629	962	150	229	355
PBCCJM_00093	MRSA_LacFitz_contig_1	107243	107413	+	171	596	527	733	106	170	205
PBCCJM_00094	MRSA_LacFitz_contig_1	108325	108954	+	630	1016	870	1346	300	312	481
PBCCJM_00095	MRSA_LacFitz_contig_1	109078	109719	+	642	999	883	1205	291	375	437
PBCCJM_00096	MRSA_LacFitz_contig_1	109756	110391	+	636	784	712	927	201	266	412
PBCCJM_00097	MRSA_LacFitz_contig_1	110357	110602	+	246	321	320	430	85	77	112
PBCCJM_00098	MRSA_LacFitz_contig_1	110626	111252	+	627	1748	1602	2203	444	624	704
pdxI	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	111522;1060150	112460;1061058	+;+	1848	14720	14602	18438	9102	9208	9808
wrbA	MRSA_LacFitz_contig_1	112671	113207	+	537	7870	7605	10053	6559	4867	6249
rimI	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	113376;488925;2811002;1607111;1934399	113852;489476;2811487;1607575;1934914	+;+;+;-;-	2496	11344	10920	14019	9114	9443	8519
ydhJ	MRSA_LacFitz_contig_1	113892	115187	+	1296	15027	15526	19724	15972	17301	17324
PBCCJM_00103	MRSA_LacFitz_contig_1	115230	115736	+	507	3535	3315	3943	3833	4425	4178
adhP	MRSA_LacFitz_contig_1	116235	117245	+	1011	34980	30954	42458	28465	26003	30470
PBCCJM_00105	MRSA_LacFitz_contig_1	117320	117427	+	108	43	36	46	30	25	33
ywiB	MRSA_LacFitz_contig_1	117520	117936	+	417	1664	1720	2121	1815	1944	1804
argS	MRSA_LacFitz_contig_1	117933	119594	+	1662	18322	17446	21699	15977	17028	14688
hP0602	MRSA_LacFitz_contig_1	119982	120617	+	636	474	478	636	453	399	342
fepB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	120996;1845607;2450577	121883;1846515;2451569	+;-;-	2790	17674	20047	20474	20234	18128	26794
fepD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	121995;166566;167567;1752489;2448571;2449566	122981;167570;168583;1753520;2449569;2450561	+;+;+;-;-;-	6028	11776	11569	14420	8162	6950	9290
yigB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	123036;626456	123755;627142	+;+	1407	5539	4957	6282	4706	4293	5234
menH	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	123739;126228;493656;2164543	124539;127016;494459;2165373	+;+;+;+	3225	22543	19752	28212	12066	11042	10354
PBCCJM_00114	MRSA_LacFitz_contig_1	124675	125181	+	507	49290	40356	56150	29572	29656	32685
PBCCJM_00115	MRSA_LacFitz_contig_1	125343	126059	+	717	10195	10441	15336	4446	5458	6034
sarA	MRSA_LacFitz_contig_1	127267	127641	-	375	19141	17310	19324	14911	16503	4883
PBCCJM_00119	MRSA_LacFitz_contig_1	128589	129149	-	561	2393	2577	3378	897	1060	1419
tnp	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_2;MRSA_LacFitz_contig_2;MRSA_LacFitz_contig_2	129357;129874;1361571;2352445;2359011;900783;1438038;1734464;2384453;2394886;2487801;2487872;2736;6616;10625	129710;130377;1361933;2353119;2360534;901268;1439399;1735666;2385304;2395959;2487872;2488093;3410;7290;11299	-;-;-;-;-;+;+;+;+;+;+;+;+;-;-	10715	23877	24722	30970	18654	17444	19263
PBCCJM_00122	MRSA_LacFitz_contig_1	130486	130842	-	357	6567	6418	8013	5529	5420	5590
PBCCJM_00123	MRSA_LacFitz_contig_1	130898	131488	-	591	230	218	408	120	145	136
PBCCJM_00124	MRSA_LacFitz_contig_1	131495	132541	-	1047	153	175	259	35	66	51
PBCCJM_00125	MRSA_LacFitz_contig_1	132531	134378	-	1848	1126	985	1469	453	583	656
ftsK	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	134383;1304001;743922	135741;1307825;746291	-;-;+	7554	102155	100793	126235	76663	71684	65107
PBCCJM_00127	MRSA_LacFitz_contig_1	135795	138290	-	2496	741	742	849	538	507	615
PBCCJM_00128	MRSA_LacFitz_contig_1	138325	138708	-	384	152	209	280	163	191	177
PBCCJM_00129	MRSA_LacFitz_contig_1	138720	138980	-	261	35	53	42	25	22	17
PBCCJM_00130	MRSA_LacFitz_contig_1	138985	140040	-	1056	189	207	305	248	197	163
PBCCJM_00132	MRSA_LacFitz_contig_1	140101	141192	-	1092	282	297	450	176	192	246
PBCCJM_00133	MRSA_LacFitz_contig_1	141367	141669	-	303	124	123	133	70	54	96
PBCCJM_00134	MRSA_LacFitz_contig_1	141683	142003	-	321	114	119	203	73	99	107
PBCCJM_00135	MRSA_LacFitz_contig_1	142154	142438	-	285	11	13	16	16	11	14
mnhC2	MRSA_LacFitz_contig_1	142547	142891	+	345	128	189	255	73	85	130
mnhD2	MRSA_LacFitz_contig_1	142881	144377	+	1497	395	399	616	300	273	320
mnhE2	MRSA_LacFitz_contig_1	144378	144860	+	483	116	103	191	78	96	84
mnhF2	MRSA_LacFitz_contig_1	144857	145159	+	303	53	46	66	35	40	39
mnhG2	MRSA_LacFitz_contig_1	145134	145571	+	438	128	159	187	56	97	91
nhaP	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	145911;2007525	147953;2009603	+;+	4122	25164	25047	32611	31888	30290	30983
znuA	MRSA_LacFitz_contig_1	149113	150042	-	930	37454	51402	47582	9131	5940	9338
znuB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	150039;1109452	150875;1110324	-;-	1710	28878	37621	37406	9147	6866	9878
znuC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	150869;1110357	151612;1111142	-;-	1530	40909	53064	52756	12590	9292	13838
mntR	MRSA_LacFitz_contig_1	151734	152378	+	645	8844	8590	10088	7065	5887	7988
PBCCJM_00147	MRSA_LacFitz_contig_1	152458	153210	-	753	2056	2326	2882	2231	2140	2652
tarA	MRSA_LacFitz_contig_1	153446	154210	+	765	10873	10190	13766	6415	6702	7443
tagH	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	154271;1458858	155065;1460375	-;-	2313	27114	27524	35947	20991	20010	22240
tagG	MRSA_LacFitz_contig_1	155412	156224	+	813	27466	29473	35490	12909	13995	15159
tarB	MRSA_LacFitz_contig_1	156323	157426	+	1104	6741	6459	9382	5328	4950	5601
tagX	MRSA_LacFitz_contig_1	157423	158484	+	1062	7081	7210	10048	5944	5927	6750
tagD	MRSA_LacFitz_contig_1	158547	158945	+	399	3098	2975	4030	2528	2688	2783
pbp4	MRSA_LacFitz_contig_1	159062	160357	-	1296	10485	11593	14019	669	903	2838
mdlB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	160778;1452715;1995160;1996918	162505;1454451;1996893;1998681	+;-;-;-	6963	26163	21729	32712	12186	12732	17906
yitT	MRSA_LacFitz_contig_1	164618	165451	+	834	3365	3616	4447	2756	2714	2597
fepC	MRSA_LacFitz_contig_1	165733	166530	+	798	1287	1526	1436	1403	989	1884
dhaK	MRSA_LacFitz_contig_1	168817	169785	+	969	701	448	741	704	492	638
dhaL	MRSA_LacFitz_contig_1	169827	170411	+	585	529	442	685	573	363	582
dhaM	MRSA_LacFitz_contig_1	170404	170766	+	363	306	192	304	286	180	380
PBCCJM_00165	MRSA_LacFitz_contig_1	170882	171379	+	498	44127	44223	56113	15071	17086	20956
ykvI	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	171835;2097392	172902;2098471	+;+	2148	33753	35256	39297	15102	20102	20538
aes	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	173053;1911543;2113799;2692065	174096;1912463;2114767;2692892	+;-;-;-	3762	32818	32166	43891	24796	23676	23748
PBCCJM_00168	MRSA_LacFitz_contig_1	174425	174853	+	429	1297	1443	1705	1980	2021	1781
rimL	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	175062;903112;1689771;2285880;2379614;196887;2712547	175568;903621;1690631;2286377;2380111;197429;2713092	-;-;-;-;-;+;+	3963	24281	23862	31471	13706	15404	19197
graX	MRSA_LacFitz_contig_1	175681	176604	+	924	3522	3634	5019	3345	3476	3412
graR	MRSA_LacFitz_contig_1	176620	177294	+	675	1033	974	1210	947	1066	1011
graS	MRSA_LacFitz_contig_1	177287	178327	+	1041	3547	3434	4724	2996	3570	3518
vraF	MRSA_LacFitz_contig_1	178471	179232	+	762	2602	2654	3366	2093	2371	2107
vraG	MRSA_LacFitz_contig_1	179222	181111	+	1890	5492	5678	7487	4460	4490	4243
ykaA	MRSA_LacFitz_contig_1	181836	182453	+	618	16264	17621	20729	15028	16703	12133
pitA	MRSA_LacFitz_contig_1	182469	183476	+	1008	22868	24276	27112	21317	21568	16209
PBCCJM_00177	MRSA_LacFitz_contig_1	184064	184861	-	798	32895	38035	42196	11967	14038	14407
ybhL	MRSA_LacFitz_contig_1	185222	185866	+	645	2832	2985	4371	2691	2449	3566
araC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	186563;1066302;1856436	188542;1067168;1858391	+;+;-	4803	18115	16701	22952	59966	53831	39515
PBCCJM_00180	MRSA_LacFitz_contig_1	188539	188712	+	174	157	114	189	102	131	151
sarX	MRSA_LacFitz_contig_1	188792	189217	+	426	300	295	383	230	258	329
tACO1	MRSA_LacFitz_contig_1	189407	190123	+	717	26395	26853	33296	15237	15534	19547
cFF1	MRSA_LacFitz_contig_1	190123	190596	+	474	12564	13324	16981	7994	7649	9760
PBCCJM_00184	MRSA_LacFitz_contig_1	190949	191593	+	645	7896	7709	10648	4747	4800	5671
lysR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	191709;1895229;2417726;423042;2121519;2813668	192575;1896113;2418586;423911;2122382;2814552	+;+;+;-;-;-	5232	18637	17319	24206	16930	15685	16470
PBCCJM_00186	MRSA_LacFitz_contig_1	192845	194065	+	1221	7287	7596	9668	5197	5553	6527
PBCCJM_00187	MRSA_LacFitz_contig_1	194062	194550	+	489	1091	1168	1268	802	941	1002
PBCCJM_00188	MRSA_LacFitz_contig_1	194649	195338	-	690	3535	3449	4567	2640	2406	2448
PBCCJM_00189	MRSA_LacFitz_contig_1	195465	195908	+	444	202	293	309	109	135	124
PBCCJM_00190	MRSA_LacFitz_contig_1	195975	196370	+	396	12086	11584	16362	7507	6959	6644
PBCCJM_00191	MRSA_LacFitz_contig_1	196508	196807	+	300	14239	12684	17114	5953	5628	4959
ppnN	MRSA_LacFitz_contig_1	197525	198091	-	567	6867	5891	7697	3370	3734	2754
yaiI	MRSA_LacFitz_contig_1	198093	198551	-	459	4836	4007	5790	2280	2638	1800
PBCCJM_00195	MRSA_LacFitz_contig_1	198554	199237	-	684	17663	13572	22494	5486	6141	5048
uppP	MRSA_LacFitz_contig_1	199409	200284	-	876	43173	41851	48835	32191	36527	35810
cydD	MRSA_LacFitz_contig_1	200497	202128	+	1632	10280	10137	13528	2763	3439	4718
cydC	MRSA_LacFitz_contig_1	202125	203798	+	1674	8452	9380	12419	3140	3835	5434
mgrA	MRSA_LacFitz_contig_1	203925	204368	-	444	108715	104115	137881	36765	39927	60461
yejR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	204595;2792123;2165520	205521;2793325;2166410	+;+;-	3021	7393	8466	11638	4868	5142	5357
ydhF	MRSA_LacFitz_contig_1	205624	206532	+	909	10607	10834	13634	7847	7726	7808
PBCCJM_00202	MRSA_LacFitz_contig_1	206567	206854	+	288	1194	1318	1524	1035	1163	1083
citT	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	207137;2296537	208690;2297955	+;+	2973	18392	16372	23476	3040	3448	4479
phrB	MRSA_LacFitz_contig_1	208776	210149	+	1374	5893	5232	7230	2701	3016	3363
PBCCJM_00205	MRSA_LacFitz_contig_1	210304	210588	-	285	1546	1617	1963	682	955	1294
PBCCJM_00206	MRSA_LacFitz_contig_1	210585	211202	-	618	3058	3233	4085	1179	1793	2504
aF0104	MRSA_LacFitz_contig_1	211388	211810	-	423	2014	2061	2747	897	1347	1769
norA	MRSA_LacFitz_contig_1	212019	213185	+	1167	7306	6921	8960	2475	4255	6437
PBCCJM_00209	MRSA_LacFitz_contig_1	213478	213930	+	453	7794	10066	9663	1509	3072	2644
ybaK	MRSA_LacFitz_contig_1	214104	214586	+	483	1105	1127	1441	1006	876	884
glpR	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	214836;1119558	215600;1120097	+;-	1305	43616	34260	49785	45279	30235	33058
pfkB	MRSA_LacFitz_contig_1	215597	216517	+	921	42602	33370	49550	45916	30002	37361
ptsN	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	216523;2233299;2606782;2701648	218481;2235251;2607249;2702091	+;+;+;-	4824	163401	138125	197084	152400	130443	148477
nagA	MRSA_LacFitz_contig_1	218789	219970	+	1182	8722	9970	11637	7589	6740	6091
tlyC	MRSA_LacFitz_contig_1	220191	221540	+	1350	26789	27342	32321	16091	17893	16167
aRA1	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	221762;1356201;1780152	222601;1357034;1781000	+;-;-	2523	9048	8871	12008	2189	2417	3579
csbB	MRSA_LacFitz_contig_1	222733	223716	+	984	4224	3730	5343	1132	1374	1622
saeS	MRSA_LacFitz_contig_1	223788	224843	-	1056	48143	49145	69479	52460	56907	67111
saeR	MRSA_LacFitz_contig_1	224843	225529	-	687	10286	9618	12457	12156	13277	15246
doxX	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	225504;486512;2264356	225977;486868;2264715	-;-;+	1191	36345	33552	44821	21075	23528	29860
PBCCJM_00221	MRSA_LacFitz_contig_1	226319	226759	-	441	8689	8224	12037	18833	21067	24403
PBCCJM_00222	MRSA_LacFitz_contig_1	227039	227623	-	585	5531	7140	8220	5426	5355	5351
queE	MRSA_LacFitz_contig_1	227722	228435	-	714	4031	4061	4609	3903	3555	3788
queD	MRSA_LacFitz_contig_1	228439	228858	-	420	1029	1089	1185	1097	963	966
queC	MRSA_LacFitz_contig_1	228860	229528	-	669	2900	3085	3611	3027	2921	2784
pabA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	229879;849410	230472;849976	+;+	1161	1070	1103	1433	1088	1105	1030
pabB	MRSA_LacFitz_contig_1	230456	231607	+	1152	2027	2098	2791	2253	2195	2208
pxpB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	232575;1159905	233285;1160639	+;-	1446	4719	4664	6236	8672	6582	6908
pxpC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	233269;1158905	234273;1159915	+;-	2016	7695	7150	9412	12555	10040	10872
ltaS	MRSA_LacFitz_contig_1	234747	236687	+	1941	86522	89246	117418	70198	77414	75224
ccmA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	236964;793194;2093244;2719835;529345;1412660;2640681	238841;794093;2093939;2720677;530745;1413400;2641340	+;+;+;+;-;-;-	7119	51355	55358	65152	79383	54285	51057
